user,item_type,item_spec,cost,date_time
266654734633533440,perk,win-win,1500,2024-06-05 00:53:11.704510
224608707231744000,tip,123863796316897283,1,2024-06-07 02:14:46.814637
224608707231744000,tip,123863796316897283,1,2024-06-07 02:15:23.968041
266654734633533440,tip,278980793139724288,1,2024-06-07 02:37:40.476338
278980793139724288,perk,inflation,3000,2024-06-10 00:49:22.731374
266654734633533440,perk,cheerleader,2000,2024-06-10 22:12:31.541252
266654734633533440,tip,311570187855986689,10,2024-06-10 22:12:31.541252
266654734633533440,tip,123863796316897283,5,2024-06-10 22:16:42.815604
123863796316897283,tip,199856177431969792,5,2024-06-10 22:16:42.815604
121279392273006595,tip,199856177431969792,1,2024-06-10 22:16:42.815604
121279392273006595,tip,123863796316897283,7,2024-06-10 22:16:42.815604
207903578550042626,tip,123863796316897283,50,2024-06-10 22:16:42.815604
207903578550042626,tip,199856177431969792,10,2024-06-11 21:04:42.350947
266654734633533440,tip,123863796316897283,50,2024-06-13 21:48:57.297020
311570187855986689,tip,123863796316897283,200,2024-06-13 21:48:57.297020
266654734633533440,tip,199856177431969792,5,2024-06-16 22:18:13.991701
311570187855986689,tip,199856177431969792,100,2024-06-16 22:18:13.991701
199856177431969792,perk,cheerleader,2000,2024-06-23 19:55:34.425649
207903578550042626,tip,123863796316897283,100,2024-07-05 16:50:57.540954
123863796316897283,tip,199856177431969792,10,2024-07-06 00:55:40.771685
123863796316897283,tip,199856177431969792,1,2024-07-06 00:55:40.771685
123863796316897283,tip,199856177431969792,2,2024-07-06 00:55:40.771685
223161897468428298,tip,123863796316897283,40,2024-07-06 00:55:40.771685
223161897468428298,tip,123863796316897283,40,2024-07-06 00:55:40.771685
226700078486781956,tip,207903578550042626,1,2024-07-06 00:55:40.771685
123863796316897283,tip,207903578550042626,1,2024-07-06 00:55:40.771685
207903578550042626,tip,123863796316897283,1,2024-07-06 00:55:40.771685
266654734633533440,perk,hedged,5000,2024-07-06 00:55:40.771685
207903578550042626,tip,123863796316897283,50,2024-07-06 00:55:40.771685
207903578550042626,tip,199856177431969792,50,2024-07-06 00:55:40.771685
123863796316897283,tip,207903578550042626,50,2024-07-06 00:55:40.771685
266654734633533440,perk,midas,5000,2024-07-06 00:55:40.771685
226018564010672128,perk,midas,5000,2024-07-06 00:55:40.771685
266654734633533440,tip,199856177431969792,1,2024-11-12 21:06:16.516340
224608707231744000,tip,199856177431969792,1,2024-11-12 21:06:16.516340
226018564010672128,tip,266654734633533440,100,2024-11-12 21:06:16.516340
226018564010672128,tip,541565507476652032,50,2024-11-12 21:06:16.516340
311570187855986689,tip,123863796316897283,100,2024-11-12 21:06:16.516340
311570187855986689,tip,123863796316897283,101,2024-11-12 21:06:16.516340
224608707231744000,tip,123863796316897283,50,2024-11-12 21:06:16.516340
199856177431969792,tip,296597397038039050,1,2024-11-12 21:06:16.516340
266654734633533440,tip,311570187855986689,69,2024-11-12 21:06:16.516340
226018564010672128,tip,207903578550042626,2000,2024-11-12 21:06:16.516340
311570187855986689,tip,199856177431969792,900,2025-01-04 23:03:20.320172
199856177431969792,tip,311570187855986689,901,2025-01-04 23:03:20.320172
311570187855986689,tip,199856177431969792,200,2025-01-04 23:03:20.320172
311570187855986689,tip,199856177431969792,200,2025-01-04 23:03:20.320172
199856177431969792,tip,311570187855986689,401,2025-01-04 23:03:20.320172
266654734633533440,tip,199856177431969792,100,2025-01-04 23:03:20.320172
199856177431969792,tip,266654734633533440,101,2025-01-04 23:03:20.320172
311570187855986689,tip,199856177431969792,250,2025-01-04 23:03:20.320172
278980793139724288,tip,199856177431969792,100,2025-01-04 23:03:20.320172
199856177431969792,tip,278980793139724288,101,2025-01-04 23:03:20.320172
291610583210393604,tip,199856177431969792,500,2025-01-04 23:03:20.320172
278980793139724288,tip,199856177431969792,500,2025-01-04 23:03:20.320172
199856177431969792,tip,278980793139724288,501,2025-01-04 23:03:20.320172
199856177431969792,tip,291610583210393604,501,2025-01-04 23:03:20.320172
278980793139724288,perk,midas,5000,2025-01-04 23:03:20.320172
278980793139724288,perk,win-win,1500,2025-01-04 23:03:20.320172
311570187855986689,tip,199856177431969792,400,2025-01-04 23:03:20.320172
199856177431969792,tip,311570187855986689,403,2025-01-04 23:03:20.320172
207903578550042626,tip,226018564010672128,2000,2025-01-04 23:03:20.320172
291610583210393604,tip,199856177431969792,1500,2025-01-04 23:03:20.320172
199856177431969792,tip,291610583210393604,1501,2025-01-04 23:03:20.320172
226018564010672128,tip,207903578550042626,1000,2025-01-04 23:03:20.320172
226018564010672128,tip,541565507476652032,300,2025-01-04 23:03:20.320172
226018564010672128,tip,226700078486781956,100,2025-01-04 23:03:20.320172
226018564010672128,tip,199856177431969792,300,2025-01-04 23:03:20.320172
226018564010672128,tip,171321137551114240,150,2025-01-04 23:03:20.320172
226018564010672128,tip,224608707231744000,300,2025-01-04 23:03:20.320172
226018564010672128,tip,224608707231744000,300,2025-01-04 23:03:20.320172
226018564010672128,tip,147347292616261632,100,2025-01-04 23:03:20.320172
226018564010672128,tip,199856177431969792,300,2025-01-04 23:03:20.320172
226018564010672128,tip,291610583210393604,100,2025-01-04 23:03:20.320172
226018564010672128,tip,223820519537901568,100,2025-01-04 23:03:20.320172
226018564010672128,tip,133305593153716224,100,2025-01-04 23:03:20.320172
311570187855986689,tip,199856177431969792,100,2025-01-04 23:03:20.320172
311570187855986689,tip,153257286742048768,100,2025-01-04 23:03:20.320172
278980793139724288,perk,hedged,5000,2025-01-04 23:03:20.320172
278980793139724288,tip,266654734633533440,1000,2025-01-04 23:03:20.320172
199856177431969792,tip,224608707231744000,500,2025-01-04 23:03:20.320172
224608707231744000,tip,199856177431969792,500,2025-01-04 23:03:20.320172
278980793139724288,tip,199856177431969792,1000,2025-01-04 23:03:20.320172
226018564010672128,tip,199856177431969792,1000,2025-01-04 23:03:20.320172
226018564010672128,tip,224608707231744000,170,2025-01-04 23:03:20.320172
226018564010672128,tip,224608707231744000,5,2025-01-04 23:03:20.320172
199856177431969792,tip,278980793139724288,100,2025-01-04 23:03:20.320172
278980793139724288,perk,cheerleader,2000,2025-01-04 23:03:20.320172
278980793139724288,tip,266654734633533440,1000,2025-01-04 23:03:20.320172
278980793139724288,tip,199856177431969792,1000,2025-01-04 23:03:20.320172
278980793139724288,tip,207903578550042626,100,2025-03-09 20:33:40.866686
278980793139724288,tip,199856177431969792,1000,2025-05-23 22:33:17.867984
